customer,product,2004_qty_month1,2004_qty_month2,2004_qty_month3,2004_qty_month4,2004_qty_month5,2004_qty_month6,2004_qty_month7,2004_qty_month8,2004_qty_month9,2004_qty_month10,2004_qty_month11,2004_qty_month12,2004_qty_quarter1,2004_qty_quarter2,2004_qty_quarter3,2004_qty_quarter4,2004_Total_qty
T109580094,PRD2,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30
T109741208,PRD2,7,7,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14
T109771495,PRD2,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,16
T109900961,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T114640362,PRD2,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,8
T114650155,PRD3,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30
T114661219,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T114721287,PRD3,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,7
T114770961,PRD3,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,30
T114810395,PRD3,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,30
T114810395,PRD1,60,0,60,60,60,60,60,60,0,0,0,0,120,180,120,0,420
T114821138,PRD2,0,0,0,0,0,60,0,0,0,0,0,0,0,60,0,0,60
T114840160,PRD2,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,8
T114870232,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T114890868,PRD2,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10
T114890868,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T116670458,PRD2,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,12
T116671886,PRD3,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,30
T116671886,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T116690969,PRD3,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,8
T116710494,PRD2,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,20
T116710494,PRD1,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30
T116741960,PRD2,30,0,5,0,0,0,0,0,0,0,0,0,35,0,0,0,35
T116741960,PRD3,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,30
T116741960,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T116760689,PRD1,60,60,0,0,0,0,0,0,0,0,0,68,120,0,0,68,188
T116821052,PRD2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,0,16
T116831547,PRD1,0,0,0,36,72,72,0,0,0,0,0,0,0,180,0,0,180
T125680159,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T125810631,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T125830522,PRD2,5,0,12,0,0,0,0,0,0,0,0,0,17,0,0,0,17
T125840844,PRD2,20,10,50,205,30,0,0,22,3,0,0,0,80,235,25,0,340
T125890675,PRD1,0,0,0,0,0,0,0,0,30,30,30,30,0,0,30,90,120
T129740389,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T129790136,PRD2,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30
T129890358,PRD2,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
T130650329,PRD2,0,30,30,0,0,0,0,0,30,0,0,0,60,0,30,0,90
T130650329,PRD1,0,0,30,0,0,30,1,0,0,0,0,60,30,30,1,60,121
T130700281,PRD2,0,0,60,0,0,0,0,0,0,0,0,0,60,0,0,0,60
T130890462,PRD2,0,0,0,60,60,0,10,0,0,0,0,0,0,120,10,0,130
280278176,PRD2,0,0,0,0,0,0,30,0,15,0,0,0,0,0,45,0,45
280278176,PRD1,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,56,56
T140570111,PRD1,30,0,30,0,0,0,0,0,0,0,0,0,60,0,0,0,60
T140630460,PRD1,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30
T140770117,PRD2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,8
T140790298,PRD1,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30
T140850357,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T140870701,PRD2,0,0,30,0,0,0,0,30,0,0,0,0,30,0,30,0,60
T140870701,PRD3,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,60,60
T141760026,PRD2,0,0,0,6,22,0,0,0,0,0,0,0,0,28,0,0,28
T141820743,PRD2,17,0,0,0,0,10,0,0,24,0,0,0,17,10,24,0,51
T142450022,PRD2,16,0,0,22,6,0,32,0,0,0,0,0,16,28,32,0,76
T142640110,PRD1,100,100,0,200,200,0,300,0,100,0,0,0,200,400,400,0,1000
T142751008,PRD2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,30
T142770537,PRD2,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,0,14
T142781287,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T142870329,PRD2,0,15,10,0,0,0,0,0,0,0,0,0,25,0,0,0,25
T932476855,PRD2,2,0,0,6,5,0,0,0,0,0,0,0,2,11,0,0,13
T932476855,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T863394451,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T369214506,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T662431222,PRD2,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4
T242392043,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T535181721,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10284168,PRD3,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20
10284168,PRD1,141,100,121,32,152,114,107,70,84,64,91,10,362,298,261,165,1086
T147790150,PRD2,60,0,0,0,0,30,0,0,0,0,0,0,60,30,0,0,90
T147790150,PRD1,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,30
T148710181,PRD2,0,0,0,0,0,0,60,60,120,0,0,0,0,0,240,0,240
T148710181,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T148820855,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T148840144,PRD2,0,0,0,20,50,0,0,0,0,0,0,0,0,70,0,0,70
T148860655,PRD3,0,0,0,56,0,0,0,0,0,0,0,0,0,56,0,0,56
T148860655,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T148890438,PRD2,0,3,6,0,8,4,4,0,0,0,0,0,9,12,4,0,25
T149720311,PRD2,60,30,30,0,30,0,0,0,0,0,0,0,120,30,0,0,150
T149720311,PRD1,0,0,30,60,0,60,60,0,30,60,30,0,30,120,90,90,330
T149740210,PRD3,0,0,0,0,0,0,0,10,30,90,0,0,0,0,40,90,130
T149740210,PRD1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,30
T149810427,PRD2,124,94,97,145,60,155,220,109,109,0,0,0,315,360,438,0,1113
T149810427,PRD1,0,0,0,0,0,0,0,0,0,70,10,0,0,0,0,80,80
T150790361,PRD3,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,30
T151640086,PRD2,0,0,74,40,0,0,0,0,0,0,0,0,74,40,0,0,114
T151640086,PRD1,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,60,60
T151760339,PRD3,12,0,24,54,12,0,0,20,0,12,0,0,36,66,20,12,134
T151761486,PRD3,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,40
T151780569,PRD3,12,36,12,48,27,24,0,10,61,0,0,0,60,99,71,0,230
T151780569,PRD1,60,60,60,0,0,0,0,0,0,0,0,0,180,0,0,0,180
T151821619,PRD2,0,0,0,60,0,0,0,0,0,0,0,0,0,60,0,0,60
